upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
840172025155,smart cafe cash register,,http://www.winfun.com/cache/img/bcaec8759823dca89d2411f74a422082.png,https://www.winfun.com/four_stage_toy/product/583/,,,
840172001838,Baby's Butterfly Rattle,"Soft detachable arches A tummy-time pillow Activity elements: Rustling leaves Colourful shimmering tactile inserts of various shapes! ,Satin ribbons Hanging toys: A soft safe mirror A soft butterfly with rustling wings A soft bird with a squeaker inside A soft cloud-rattle A teether with a convenient handle",https://www.winfun.com/upload/toy_product/68/self/608a35b177115.png,https://www.winfun.com/four_stage_toy/product/68/,,,
840172002330,Grip n Play Rattle,"Easy-grasp rattle for playtime fun Bright, colorful design Free spinning rattle rings Easy to grip and shake Age 0M+",https://www.winfun.com/upload/toy_product/35/self/60861c9f104eb.png,,,,
840172002361,Light-Up Pal Teether - Bee,"Semi soft colorful pal Easy to press light-up melody button Fun sounds and cheerful melodies Easily attaches to stroller, crib or car seat",https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608622ba6385d_480x480.png?v=1705339158,,,,
840172002408,Shake 'N Spin Rattle - Birdy,Sweet bird rattle with spinning tail Easy-grasp handle designed for baby,,,,,
840172002415,Shake 'N Slide Rattle - Raincloud,Sweet raincloud rattle with swinging raindrops and sliding bead Easy-grasp handle designed for baby,https://cdn.shopify.com/s/files/1/0659/1938/5816/files/60861864a31ad_480x480.png?v=1705336802,,,,
840172002507,Safari Adventure Bumper,"Soft adventure bumper with multi activities, perfect for little ones Swing the monkey to hear the chime bell and flip the grass to see a hiding jungle pal Flap the bird's wing, peek into the baby-safe mirror, and feel the smooth satin pool Explore the different textures for sensory delights",https://www.winfun.com/upload/toy_product/583/self/240402-03.jpg,https://www.winfun.com/four_stage_toy/product/583/,,,
840172006741,Spin 'N Pull Snail,Pull-along snail with spinner ball activity Press down on the small ladybug to spin the balls Melody plays as snail is pulled along,https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a335173786_480x480.png?v=1705338341,,,,
840172006819,Sing 'N Learn With Me - Bear,,,,,,
840172007151,Side-to-Side Discovery Cube,5 light-up buttons with animal sounds and amused melodies 2 page book with fun sounds and melodies Ocean spinning roller with sound effects Colorful dial wheel and wiggly sliding insect buttons Clear roller with colorful beads Roll the cube for zany sound effect,https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a466d443fe_480x480.png?v=1705338937,,,,
840172007410,Music Fun Activity Cube,"Multi-activity cube with 5 light-up keys and flashing drum pad Instrument buttons, fun sound buttons and light-up demo song button Fun sounds, animal sounds and cheerful melodies Press the 5 light-up keys for Play Right mode Hit the drum pad to hear drum sounds and change the color Baby-safe mirror, wiggly sliders and turning gears Shape sorter activity includes 4 shapes -triangle, heart, circle, square",https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a46818e72f_480x480.png?v=1705450736,,,,
