upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
19275010065,Gravity Maze,"It's a gravity powered maze game that comes with 60 challenges of increasing difficulty, from beginner to expert, and makes a great birthday or holiday present for kids who like puzzles, smart games and challenging activities. Gravity Maze is made with high quality components, and comes with a very clear and easy to understand instruction manual - you'll be able to play within minutes of opening the box. 

Like all of ThinkFun's games, Gravity Maze has an educational aspect - it's built to develop critical thinking skills and tie into STEM subjects like science and engineering. Playing through the increasingly difficult brain teaser style challenges will sharpen your mind by improving logical reasoning, spatial reasoning and planning skills, all through fun gameplay. Like all of ThinkFun's games, it also makes a wonderful addition to any homeschool curriculum.

",https://ravensburger.cloud/images/produktseiten/520x445/44001006.webp,https://www.ravensburger.us/en-US/products/games/thinkfun/gravity-maze-44001006,,,
19275010089,CIRCUIT MAZE,,,,,,
19275010102,THINKING PUTTY PUZZLE,,,,,,
19275010126,Domino Maze,,,,,,
19275010140,LAZER MAZE,,,,,,
19275010218,Invasion of the Cow Snatchers - NEW!,,,,,,
19275010447,Laser Maze,"Laser Maze is a beam bending logic game that comes with 60 challenges of increasing difficulty, from beginner to expert, and makes a great birthday or holiday present for kids who like smart games and challenging activities. Laser Maze is made with high quality components, and comes with a very clear and easy to understand instruction manual - you'll be able to play within minutes of opening the box.

Use lasers to solve the maze using the power of your mind and see if you can solve each of the challenges. Encouraging critical thinking and imagination, Laser Maze is perfect for all who love games, puzzles, lasers, and sci-fi! 

",https://ravensburger.cloud/images/produktseiten/520x445/44001014.webp,https://www.ravensburger.us/en-US/products/games/thinkfun/laser-maze-44001014,,,
19275010454,Laser Maze,"Laser Maze is a beam bending logic game that comes with 60 challenges of increasing difficulty, from beginner to expert, and makes a great birthday or holiday present for kids who like smart games and challenging activities. Laser Maze is made with high quality components, and comes with a very clear and easy to understand instruction manual - you'll be able to play within minutes of opening the box.

Use lasers to solve the maze using the power of your mind and see if you can solve each of the challenges. Encouraging critical thinking and imagination, Laser Maze is perfect for all who love games, puzzles, lasers, and sci-fi! 

",https://ravensburger.cloud/images/produktseiten/520x445/44001014.webp,https://www.ravensburger.us/en-US/products/games/thinkfun/laser-maze-44001014,,,
19275010461,Roller Coaster Challenge," Start by choosing a challenge card and setting up the pieces to match. Then, players use the remaining pieces to build a working roller coaster that meets the build conditions on their challenge card. Roller Coaster Challenge incorporates elements of a logic puzzle, while also allowing for the creativity that stems from free-form building. Once you have solved each challenge, you get to watch a real coaster car glide down the track, complete with dips, curves, and loops!

Roller Coaster Challenge is one of ThinkFun's most popular stem toys for boys and girls, and was a Toy of the Year Award Finalist in 2018. It's a logic game and roller coaster building set that comes with 60 challenges of increasing difficulty, from beginner to expert, and makes a great birthday or holiday present for kids who like smart games and challenging activities. Roller Coaster Challenge is a fun brain teaser puzzle made with high quality components, and comes with a very clear and easy to understand instruction manual - you'll be able to play within minutes of opening the box. Like all of ThinkFun's games, Roller Coaster Challenge is built to develop critical thinking skills and ties into STEM subjects like science and engineering. Playing through increasingly difficult challenges will improve logical reasoning, spatial reasoning and planning skills, all through fun gameplay.

",https://ravensburger.cloud/images/produktseiten/520x445/44001046.webp,https://www.ravensburger.us/en-US/products/games/thinkfun/roller-coaster-challenge-44001046,,,
19275011406,Balance Beans,"Wobbling on a balance board is fun, but keeping steady is even better! Place the colorful beans in just the right spaces on the board to make it level. When the Pointer Bean aligns with the green section and the beans and board are balanced - YOU WIN! With 40 increasingly challenging puzzles, Balance Beans helps develop logical reasoning and early math skills and is the perfect introduction to the world of logic games for kids ages 5+. 

This updated version of Balance Beans features refreshed packaging and improved components for an even smoother game experience. Designed by the trusted minds at ThinkFun, Balance Beans blends education with entertainment, proving that learning math can be balanced, silly, and bean-tastically fun! 

",https://ravensburger.cloud/images/produktseiten/520x445/76647.webp,https://www.ravensburger.us/en-US/products/games/thinkfun/balance-beans-76647,,,
